SFIA_Code,Level,Capability_ID,Capability_Description,Evidence_Type,Evidence_Metric
PROD,4,PROD_4_01,Define product roadmap and release plans,Planning Task,Roadmap completeness and approval rate (%)
PROD,4,PROD_4_02,"Balance value, cost, and delivery constraints",Decision Task,% of decisions meeting value/cost/delivery targets
PROD,5,PROD_5_01,Lead product strategy and value delivery,Leadership Task,Stakeholder satisfaction rate (%)
PROD,5,PROD_5_02,Align product outcomes with business goals,Strategic Task,% of products meeting business objectives
PROD,6,PROD_6_01,Set organisational product management standards,Governance Task,Adoption rate of product management standards (%)
PROD,6,PROD_6_02,Govern product portfolios and investment decisions,Governance Task,Compliance with portfolio governance (%)
SFEN,2,SFEN_2_01,Apply basic safety engineering principles,Safety Task,% of safety principles correctly applied
SFEN,2,SFEN_2_02,Identify potential system hazards,Analysis Task,# of hazards correctly identified
SFEN,3,SFEN_3_01,Perform hazard analysis and risk identification,Risk Analysis Task,% of hazards analysed and risks documented
SFEN,3,SFEN_3_02,Define safety requirements and controls,Design Task,Completeness of safety requirements (%)
SFEN,4,SFEN_4_01,Design systems to mitigate safety risks,Design Task,% of safety risks mitigated in design
SFEN,4,SFEN_4_02,Integrate safety requirements into system designs,Integration Task,% of safety requirements correctly integrated
SFEN,5,SFEN_5_01,Lead system safety engineering activities,Leadership Task,Stakeholder approval rate (%)
SFEN,5,SFEN_5_02,Ensure compliance with safety standards,Validation Task,Compliance rate with standards (%)
SFEN,6,SFEN_6_01,Define organisational safety engineering strategy,Governance Task,Adoption rate of safety strategy (%)
SFEN,6,SFEN_6_02,Govern system safety practices across portfolios,Governance Task,Compliance rate across portfolios (%)
SFAS,4,SFAS_4_01,Conduct safety assessments against defined criteria,Assessment Task,% of assessments meeting criteria
SFAS,4,SFAS_4_02,Document safety evidence and assessment results,Documentation Task,Completeness and accuracy of evidence
SFAS,5,SFAS_5_01,Lead safety validation and certification activities,Leadership Task,Stakeholder approval of validation (%)
SFAS,5,SFAS_5_02,Assess compliance with safety regulations and standards,Assessment Task,% compliance with regulations
SFAS,6,SFAS_6_01,Define organisational safety assessment frameworks,Governance Task,Adoption of frameworks across organisation (%)
SFAS,6,SFAS_6_02,Govern safety certification and assurance practices,Governance Task,Compliance with certification and assurance standards (%)
DATM,2,DATM_2_01,Maintain data records according to defined standards,Task,% of records compliant with standards
DATM,2,DATM_2_02,Support data quality checks and basic governance tasks,Task,# of quality checks correctly performed
DATM,3,DATM_3_01,Manage data lifecycle activities,Task,% of lifecycle tasks completed successfully
DATM,3,DATM_3_02,Apply data governance policies and procedures,Task,% of policies correctly applied
DATM,4,DATM_4_01,Plan and coordinate data management activities,Management Task,% of activities delivered on schedule
DATM,4,DATM_4_02,"Ensure data quality, integrity, and accessibility",Review Task,% of datasets meeting quality standards
DATM,5,DATM_5_01,Lead data governance and stewardship initiatives,Leadership Task,Stakeholder approval rate (%)
DATM,5,DATM_5_02,Define data management standards and controls,Governance Task,Adoption rate of standards (%)
DATM,6,DATM_6_01,Establish organisational data management strategy,Governance Task,% alignment with organisational objectives
DATM,6,DATM_6_02,Govern enterprise data assets and policies,Governance Task,Compliance rate across enterprise data assets
DTAN,2,DTAN_2_01,Produce basic logical data models,Task,Accuracy of logical data models (%)
DTAN,2,DTAN_2_02,Maintain data definitions and metadata,Task,% of metadata correctly maintained
DTAN,3,DTAN_3_01,Design logical and physical data models,Design Task,Quality and completeness of data models (%)
DTAN,3,DTAN_3_02,Align data structures with application requirements,Review Task,% of alignment with application requirements
DTAN,4,DTAN_4_01,Define data architecture standards,Governance Task,Adoption rate of architecture standards (%)
DTAN,4,DTAN_4_02,Ensure consistency across data models and systems,Review Task,% of models consistent across systems
DTAN,5,DTAN_5_01,Lead data modelling and architecture practices,Leadership Task,Stakeholder approval of modelling practices (%)
DTAN,5,DTAN_5_02,Optimise data architectures for scalability and reuse,Optimization Task,% improvement in architecture scalability and reuse
DAAN,2,DAAN_2_01,Prepare datasets for analysis,Task,% of datasets correctly prepared
DAAN,2,DAAN_2_02,Perform basic descriptive analysis,Task,Accuracy of descriptive analysis results (%)
DAAN,3,DAAN_3_01,Analyse datasets to identify trends and patterns,Analysis Task,Correct identification of trends/patterns (%)
DAAN,3,DAAN_3_02,Communicate analytical findings,Communication Task,Clarity and completeness of findings (%)
DAAN,4,DAAN_4_01,Design analytical approaches to business problems,Design Task,Appropriateness of analytical approach (%)
DAAN,4,DAAN_4_02,Validate data sources and analytical results,Validation Task,% of sources and results validated successfully
DAAN,5,DAAN_5_01,Lead analytics initiatives and projects,Leadership Task,Stakeholder satisfaction rate (%)
DAAN,5,DAAN_5_02,Translate business questions into analytical models,Application Task,% of models correctly addressing questions
DAAN,6,DAAN_6_01,Define organisational analytics strategy,Governance Task,Adoption rate of analytics strategy (%)
DAAN,6,DAAN_6_02,Integrate analytics into decision-making processes,Integration Task,% of decisions informed by analytics
DAAN,7,DAAN_7_01,Set enterprise-wide analytics vision,Strategic Task,Alignment with enterprise vision (%)
DAAN,7,DAAN_7_02,Influence data-driven culture and investment,Strategic Task,Evidence of culture adoption (%)
DATS,2,DATS_2_01,Apply basic statistical techniques,Task,Accuracy of statistical calculations (%)
DATS,2,DATS_2_02,Prepare datasets for modelling,Task,% of datasets correctly prepared
DATS,3,DATS_3_01,Build and evaluate analytical models,Task,% of models evaluated with correct metrics
DATS,3,DATS_3_02,Apply exploratory data analysis techniques,Analysis Task,Quality of insights generated (%)
DATS,4,DATS_4_01,Develop advanced statistical and predictive models,Design Task,Accuracy and robustness of models (%)
DATS,4,DATS_4_02,Validate models and assumptions,Validation Task,% of assumptions validated successfully
DATS,5,DATS_5_01,Lead data science initiatives,Leadership Task,Stakeholder satisfaction rate (%)
DATS,5,DATS_5_02,Select and apply appropriate modelling techniques,Decision Task,% of correct modelling techniques applied
DATS,6,DATS_6_01,Define data science strategy and standards,Governance Task,Adoption of standards across teams (%)
DATS,6,DATS_6_02,Govern ethical and responsible data science practices,Governance Task,% compliance with ethical standards
MLNG,2,MLNG_2_01,Implement basic machine learning models,Task,Accuracy of model implementation (%)
MLNG,2,MLNG_2_02,Prepare training and test datasets,Task,% of datasets correctly prepared
MLNG,3,MLNG_3_01,"Train, evaluate, and tune models",Task,Model performance metrics (%)
MLNG,3,MLNG_3_02,Apply feature engineering techniques,Task,% of features correctly engineered
MLNG,4,MLNG_4_01,Design ML solutions for defined problems,Design Task,Quality of ML solution (%)
MLNG,4,MLNG_4_02,Integrate models into systems and pipelines,Integration Task,% successful integration into systems
MLNG,5,MLNG_5_01,Lead machine learning development efforts,Leadership Task,Stakeholder approval rate (%)
MLNG,5,MLNG_5_02,Select ML approaches aligned with business needs,Decision Task,% of approaches aligned with objectives
MLNG,6,MLNG_6_01,Define organisational ML strategy,Governance Task,Adoption of ML strategy across teams (%)
MLNG,6,MLNG_6_02,"Govern model lifecycle, ethics, and risk",Governance Task,% compliance with governance and ethics
BINT,2,BINT_2_01,Develop basic reports and dashboards,Task,% of reports and dashboards accurate
BINT,2,BINT_2_02,Support BI tools and data sources,Task,% of BI support tasks completed successfully
BINT,3,BINT_3_01,Design dashboards for business users,Design Task,User satisfaction with dashboards (%)
BINT,3,BINT_3_02,Ensure data accuracy and usability,Review Task,% of data accurate and usable
BINT,4,BINT_4_01,Define BI reporting standards,Governance Task,Adoption of reporting standards (%)
BINT,4,BINT_4_02,Optimise BI platforms and performance,Optimization Task,% improvement in BI platform performance
BINT,5,BINT_5_01,Lead BI strategy and delivery,Leadership Task,Stakeholder satisfaction rate (%)
BINT,5,BINT_5_02,Align BI solutions with business goals,Strategic Task,% alignment with business objectives
DENG,2,DENG_2_01,Build basic data pipelines and ETL jobs,Task,% of pipelines implemented correctly
DENG,2,DENG_2_02,Monitor data flows and resolve issues,Task,# of flow issues resolved within SLA
DENG,3,DENG_3_01,Develop scalable ETL and ingestion processes,Task,Performance and scalability metrics met (%)
DENG,3,DENG_3_02,Ensure data reliability and quality in pipelines,Review Task,% of data accuracy and reliability
DENG,4,DENG_4_01,Design data platforms and pipeline architectures,Design Task,Completeness and performance of architecture (%)
DENG,4,DENG_4_02,Optimise performance and scalability,Optimization Task,Improvement in processing speed and throughput (%)
DENG,5,DENG_5_01,Lead data engineering initiatives,Leadership Task,Stakeholder satisfaction rate (%)
DENG,5,DENG_5_02,Define data platform standards and tooling,Governance Task,Adoption rate of standards (%)
DENG,6,DENG_6_01,Set organisational data engineering strategy,Governance Task,Alignment of strategy with organisational goals (%)
DENG,6,DENG_6_02,Govern enterprise data platforms,Governance Task,Compliance and uptime metrics (%)
VISL,2,VISL_2_01,Create basic charts and visualisations,Task,Accuracy and clarity of visuals (%)
VISL,2,VISL_2_02,Apply visual design guidelines,Task,% adherence to guidelines
VISL,3,VISL_3_01,Design visualisations to communicate insights,Design Task,Stakeholder feedback on effectiveness (%)
VISL,3,VISL_3_02,Select appropriate visual forms for data,Design Task,% of visuals correctly mapped to data type
VISL,4,VISL_4_01,Define visual analytics standards,Governance Task,Adoption rate of standards (%)
VISL,4,VISL_4_02,Ensure accessibility and usability of visuals,Review Task,% compliance with accessibility standards
VISL,5,VISL_5_01,Lead visual analytics strategy,Leadership Task,Stakeholder satisfaction (%)
VISL,5,VISL_5_02,Influence data storytelling practices,Strategic Task,Evidence of improved insights adoption (%)
URCH,2,URCH_2_01,"Collect user data using interviews, surveys, and observation",Task,# of user insights correctly captured
URCH,2,URCH_2_02,Document user needs and research findings,Task,Completeness and clarity of documentation (%)
URCH,3,URCH_3_01,Plan and conduct structured user research activities,Task,Research plan execution rate (%)
URCH,3,URCH_3_02,Analyse qualitative and quantitative user data,Analysis Task,Accuracy of research analysis (%)
URCH,4,URCH_4_01,Select appropriate research methods to inform design decisions,Design Task,% of methods correctly applied
URCH,4,URCH_4_02,Translate research insights into actionable requirements,Task,# of actionable requirements generated
URCH,5,URCH_5_01,Define user research strategy aligned with business goals,Governance Task,Alignment of strategy with business objectives (%)
URCH,6,URCH_6_01,Lead organisational user research capability and practice,Leadership Task,Stakeholder satisfaction rate (%)
CEXP,2,CEXP_2_01,Map basic user journeys and touchpoints,Task,% of journeys accurately mapped
CEXP,3,CEXP_3_01,Analyse end-to-end customer experiences,Analysis Task,% of insights correctly identified
CEXP,3,CEXP_3_02,Identify experience gaps and improvement opportunities,Analysis Task,# of gaps accurately documented
CEXP,4,CEXP_4_01,Design coherent service and experience strategies,Design Task,Stakeholder approval rate (%)
CEXP,5,CEXP_5_01,Align experience strategy with brand and organisational goals,Governance Task,Alignment with strategic objectives (%)
CEXP,6,CEXP_6_01,Define enterprise-wide customer experience vision,Strategic Task,Evidence of adoption across enterprise (%)
ACIN,2,ACIN_2_01,Apply basic accessibility guidelines in designs,Task,% of designs compliant with guidelines
ACIN,3,ACIN_3_01,Evaluate designs against accessibility standards,Review Task,% of designs passing accessibility checks
ACIN,4,ACIN_4_01,Integrate inclusive design principles into solutions,Design Task,% of solutions meeting inclusive criteria
ACIN,4,ACIN_4_02,Recommend improvements for accessibility compliance,Task,# of actionable recommendations implemented
ACIN,5,ACIN_5_01,Define accessibility strategies and policies,Governance Task,Adoption of strategies (%)
ACIN,6,ACIN_6_01,Champion inclusive design at organisational level,Leadership Task,Evidence of cultural adoption (%)
UNAN,2,UNAN_2_01,Identify usability issues from user feedback,Task,# of issues correctly identified
UNAN,3,UNAN_3_01,Analyse user behaviour and interaction patterns,Analysis Task,% of patterns accurately identified
UNAN,4,UNAN_4_01,Conduct structured usability and experience analysis,Task,Completeness of usability analysis (%)
UNAN,5,UNAN_5_01,Lead UX analysis to inform strategic design decisions,Leadership Task,Stakeholder approval (%)
HCEV,2,HCEV_2_01,Design basic interface elements and interactions,Task,% of interfaces meeting requirements
HCEV,3,HCEV_3_01,Create wireframes and interaction flows,Design Task,Accuracy of wireframes (%)
HCEV,4,HCEV_4_01,Design end-to-end user interactions and workflows,Design Task,Completeness of workflows (%)
HCEV,4,HCEV_4_02,Apply usability and accessibility principles,Review Task,% compliance with principles
HCEV,5,HCEV_5_01,Define interaction design standards and patterns,Governance Task,Adoption rate of standards (%)
HCEV,6,HCEV_6_01,Lead organisational interaction design strategy,Leadership Task,Stakeholder satisfaction rate (%)
USEV,2,USEV_2_01,Support usability testing activities,Task,% of tests executed correctly
USEV,3,USEV_3_01,Conduct usability tests and gather feedback,Task,Completeness and accuracy of test feedback (%)
USEV,4,USEV_4_01,Analyse evaluation results and recommend changes,Analysis Task,% of recommendations implemented
USEV,5,USEV_5_01,Plan and manage UX evaluation programmes,Leadership Task,% of evaluation goals achieved
USEV,6,USEV_6_01,Define evaluation frameworks and success metrics,Governance Task,Adoption of frameworks (%)
INCA,1,INCA_1_01,Create simple digital content following templates,Task,% of content meeting template standards
INCA,2,INCA_2_01,"Write clear, structured user-focused content",Task,% clarity and completeness of content
INCA,3,INCA_3_01,Design content structures and information hierarchy,Design Task,Stakeholder approval of structure (%)
INCA,4,INCA_4_01,Apply content standards and tone of voice,Review Task,% adherence to content standards
INCA,5,INCA_5_01,Define content strategy and governance,Governance Task,Adoption of content strategy (%)
INCA,6,INCA_6_01,Lead organisational content design capability,Leadership Task,Stakeholder satisfaction rate (%)
KNOW,2,KNOW_2_01,Capture and organise knowledge assets,Task,% of assets correctly documented
KNOW,3,KNOW_3_01,Maintain knowledge repositories and taxonomies,Task,% of repositories up-to-date
KNOW,4,KNOW_4_01,Design knowledge sharing processes,Design Task,Stakeholder adoption rate (%)
KNOW,5,KNOW_5_01,Define organisational knowledge management strategy,Governance Task,Alignment with organisational goals (%)
KNOW,6,KNOW_6_01,Integrate knowledge systems across functions,Strategic Task,# of systems successfully integrated
KNOW,7,KNOW_7_01,Set enterprise-wide knowledge governance,Leadership Task,Compliance with governance framework (%)
GRDN,1,GRDN_1_01,Create basic visual assets,Task,% of assets meeting quality standards
GRDN,2,GRDN_2_01,Design graphics following brand guidelines,Task,% adherence to brand guidelines
GRDN,3,GRDN_3_01,Produce consistent visual designs across products,Review Task,Consistency score across designs (%)
GRDN,4,GRDN_4_01,Develop visual design systems,Design Task,Completeness and usability of design system (%)
GRDN,5,GRDN_5_01,Define organisational visual identity,Governance Task,Stakeholder adoption rate (%)
SCMO,4,SCMO_4_01,Develop computational models of systems,Task,Accuracy of model predictions (%)
SCMO,5,SCMO_5_01,Validate and refine simulation models,Review Task,% of models validated successfully
SCMO,6,SCMO_6_01,Lead complex modelling initiatives,Leadership Task,Stakeholder satisfaction rate (%)
SCMO,7,SCMO_7_01,Define modelling standards and research direction,Governance Task,Adoption of standards (%)
NUAN,4,NUAN_4_01,Apply numerical methods to solve problems,Task,Accuracy of numerical solutions (%)
NUAN,5,NUAN_5_01,Optimise numerical algorithms,Optimization Task,Improvement in computational efficiency (%)
NUAN,6,NUAN_6_01,Lead numerical analysis for complex systems,Leadership Task,Success rate of analyses (%)
NUAN,7,NUAN_7_01,Define organisational numerical computation strategy,Strategic Task,Alignment with organisational objectives (%)
HPCC,4,HPCC_4_01,Develop software for parallel execution,Task,% of code executing correctly in parallel
HPCC,5,HPCC_5_01,Optimise applications for high-performance systems,Optimization Task,Performance improvement (%)
HPCC,6,HPCC_6_01,Architect scalable and HPC solutions,Design Task,Scalability and reliability metrics met (%)
HPCC,7,HPCC_7_01,Define enterprise HPC strategy and capability,Strategic Task,Stakeholder adoption rate (%)