Tags,Subcategory,Sub-area,SFIA_Code,Level,Skill,Capability_ID,Capability_Description,Evidence_Type,Evidence_Metric,What it covers
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,2,Systems design,DESN_2_01,Apply defined system architecture standards and patterns,Architecture Task,% compliance with standards,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,2,Systems design,DESN_2_02,"Document system components, interfaces, and constraints",Documentation Task,Completeness & clarity score,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,3,Systems design,DESN_3_01,Design system components for well-defined problems,Design Task,Accuracy to requirements (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,3,Systems design,DESN_3_02,Analyse design constraints and assumptions,Analysis Task,Number of constraints correctly identified,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,3,Systems design,DESN_3_03,Contribute to system-level design decisions,Meeting / Design Log,Contributions adopted (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,4,Systems design,DESN_4_01,Design end-to-end system architectures,Architecture Task,Review score / % of components mapped,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,4,Systems design,DESN_4_02,Balance functional and non-functional requirements,Design Specification,% requirements addressed,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,4,Systems design,DESN_4_03,Evaluate architectural risks and trade-offs,Risk Assessment,Number of risks mitigated correctly,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,5,Systems design,DESN_5_01,Lead architecture design for complex systems,Leadership Task,Stakeholder approval rate (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,5,Systems design,DESN_5_02,Define integration approaches across subsystems,Integration Plan,Successful integrations / total planned,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,5,Systems design,DESN_5_03,Guide architecture decisions across teams,Advisory / Meeting Log,Adoption rate of guidance (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,6,Systems design,DESN_6_01,Establish enterprise-wide architecture principles,Enterprise Architecture Task,Adoption across systems (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,6,Systems design,DESN_6_02,Define long-term system architecture strategy,Strategic Plan,Executive review approval (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
SOFTWARE,Systems development,Design and architecture,SWDN,2,Software design,SWDN_2_01,Produce detailed designs for small software components,Design Task,% accuracy against requirements,"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,2,Software design,SWDN_2_02,Translate requirements into design artefacts,Documentation Task,Completeness & clarity of artefacts,"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,3,Software design,SWDN_3_01,Design application modules and data structures,Design Task,Correctness and adherence to spec (%),"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,3,Software design,SWDN_3_02,Define component interfaces and interactions,Design Task,Interfaces correctly defined / total,"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,3,Software design,SWDN_3_03,Apply design patterns appropriately,Design Review,Patterns correctly applied (%),"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,4,Software design,SWDN_4_01,Design complete software solutions,Architecture Task,Solution completeness & integration review score,"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,4,Software design,SWDN_4_02,"Ensure designs meet quality, security, and scalability needs",Design Review,# of requirements met / total,"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,4,Software design,SWDN_4_03,Validate designs against implementation constraints,Validation Task,Number of constraints correctly addressed,"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,5,Software design,SWDN_5_01,Lead software design across multiple systems,Leadership Task,Stakeholder approval rate (%),"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,5,Software design,SWDN_5_02,Align software design with business objectives,Strategic Task,% of designs aligned with business goals,"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,6,Software design,SWDN_6_01,Define organisational software design standards,Governance Task,Adoption of standards across teams (%),"Designing software components, modules, data structures, and interactions before implementation"
SOFTWARE,Systems development,Design and architecture,SWDN,6,Software design,SWDN_6_02,Govern software architecture consistency,Review / Audit,Number of systems compliant with standards,"Designing software components, modules, data structures, and interactions before implementation"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,2,Network design,NTDS_2_01,Assist in designing network configurations,Configuration Task,Accuracy of configuration against template (%),"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,2,Network design,NTDS_2_02,Apply standard network design templates,Design Task,Correct application of templates (# correct / total),"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,3,Network design,NTDS_3_01,Design network topologies to meet capacity needs,Topology Design,% of capacity requirements met,"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,3,Network design,NTDS_3_02,Select appropriate network protocols,Design Task,Correct protocol selection (%),"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,3,Network design,NTDS_3_03,Address basic network security requirements,Security Task,# of security controls correctly applied,"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,4,Network design,NTDS_4_01,Design resilient and secure network architectures,Architecture Task,Review score on resilience & security,"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,4,Network design,NTDS_4_02,Evaluate network performance and risks,Performance / Risk Assessment,% of performance targets met; risks mitigated,"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,5,Network design,NTDS_5_01,Lead network architecture design for complex environments,Leadership Task,Stakeholder approval rate (%),"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,5,Network design,NTDS_5_02,Define network integration strategies,Integration Plan,Successful integrations / total planned,"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,6,Network design,NTDS_6_01,Set strategic network architecture direction,Strategic Plan,Executive approval; alignment with organisational goals (%),"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, NETWORK",Systems development,Design and architecture,NTDS,6,Network design,NTDS_6_02,Define organisational network standards,Governance Task,Adoption rate of standards across systems (%),"Designing network topologies, protocols, capacity, and connectivity to support system requirements"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,2,Infrastructure design,IFDN_2_01,Design infrastructure components using standard patterns,Design Task,% compliance with infrastructure patterns,"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,2,Infrastructure design,IFDN_2_02,Document infrastructure configurations,Documentation Task,Completeness & clarity of configuration docs,"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,3,Infrastructure design,IFDN_3_01,Design infrastructure solutions across environments,Architecture Task,Accuracy of design across environments (%),"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,3,Infrastructure design,IFDN_3_02,"Select compute, storage, and platform services",Design Task,Correct selection of services (# correct / total),"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,4,Infrastructure design,IFDN_4_01,Design scalable and secure infrastructure architectures,Architecture Task,Review score on scalability & security,"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,4,Infrastructure design,IFDN_4_02,Optimise infrastructure for cost and resilience,Optimization Task,Cost reduction % and resilience score,"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,5,Infrastructure design,IFDN_5_01,Lead infrastructure architecture for complex systems,Leadership Task,Stakeholder approval rate (%),"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,5,Infrastructure design,IFDN_5_02,Define cloud and platform strategies,Strategic Plan,Adoption of strategy across systems (%),"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,6,Infrastructure design,IFDN_6_01,Define enterprise infrastructure architecture vision,Strategic Plan,Alignment with organisational goals (%),"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
"INFRA, CLOUD",Systems development,Design and architecture,IFDN,6,Infrastructure design,IFDN_6_02,Govern infrastructure standards and roadmap,Governance Task,Adoption of standards and roadmap compliance (%),"Designing compute, storage, and platform infrastructure (on-prem or cloud)"
SOFTWARE,Systems development,Development and build,PROG,2,Programming / software development,PROG_2_01,Implement program logic using control structures,Coding Task,% correct on automated test,"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,2,Programming / software development,PROG_2_02,Debug and resolve straightforward code-level errors,Coding Task,Number of bugs fixed correctly,"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,3,Programming / software development,PROG_3_01,Develop modular software components,Coding Task,Correctness and adherence to spec (%),"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,3,Programming / software development,PROG_3_02,Use debugging tools and tests to resolve issues,Debugging Task,# issues resolved using tools,"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,3,Programming / software development,PROG_3_03,Follow coding standards and version control practices,Code Review,% adherence to coding standards,"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,4,Programming / software development,PROG_4_01,Implement complex application features,Coding Task,Feature completeness & correctness (%),"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,4,Programming / software development,PROG_4_02,Refactor code to improve performance and maintainability,Refactoring Task,Performance improvement %; maintainability rating,"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,4,Programming / software development,PROG_4_03,Review and improve code quality,Code Review,Code quality score from peer review,"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,5,Programming / software development,PROG_5_01,Lead implementation of critical software components,Leadership Task,Stakeholder approval rate (%),"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,5,Programming / software development,PROG_5_02,Resolve systemic and architectural code issues,Debugging & Design Task,% critical issues resolved successfully,"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,6,Programming / software development,PROG_6_01,Set organisational programming standards,Governance Task,Adoption of standards across teams (%),"Writing, testing, and maintaining application code using appropriate languages and frameworks"
SOFTWARE,Systems development,Development and build,PROG,6,Programming / software development,PROG_6_02,Define long-term technical direction,Strategic Task,Alignment with organisational goals (%),"Writing, testing, and maintaining application code using appropriate languages and frameworks"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,2,Systems integration and build,SINT_2_01,Assist with integrating system components,Integration Task,% of components successfully integrated,"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,2,Systems integration and build,SINT_2_02,Follow defined build and integration procedures,Process Task,Compliance with defined procedures (%),"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,3,Systems integration and build,SINT_3_01,Integrate hardware and software subsystems,Integration Task,Number of subsystems successfully integrated,"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,3,Systems integration and build,SINT_3_02,Diagnose and resolve integration issues,Debugging Task,# of integration issues resolved correctly,"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,4,Systems integration and build,SINT_4_01,Manage integration of complex systems,Management Task,Integration success rate (%),"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,4,Systems integration and build,SINT_4_02,Coordinate system builds and deployments,Coordination Task,% on-time and error-free builds/deployments,"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,5,Systems integration and build,SINT_5_01,Lead system integration strategy,Leadership Task,Stakeholder approval rate (%),"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,5,Systems integration and build,SINT_5_02,Resolve cross-system dependencies,Problem Solving Task,% dependencies resolved without impacting delivery,"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,6,Systems integration and build,SINT_6_01,Define enterprise integration frameworks,Strategic Task,Adoption rate of frameworks across systems (%),"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, INFRA",Systems development,Development and build,SINT,6,Systems integration and build,SINT_6_02,Govern system integration standards,Governance Task,Compliance with integration standards (%),"Integrating hardware, software, and subsystems into a functioning whole and managing builds"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,2,Software configuration,PORT_2_01,Maintain software versions and configuration records,Configuration Task,% completeness and accuracy of version records,"Managing software versions, configurations, environments, and deployment readiness"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,2,Software configuration,PORT_2_02,Follow release and deployment procedures,Process Task,% adherence to release procedures,"Managing software versions, configurations, environments, and deployment readiness"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,3,Software configuration,PORT_3_01,Manage builds and environments,Build Task,% of successful builds without errors,"Managing software versions, configurations, environments, and deployment readiness"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,3,Software configuration,PORT_3_02,Prepare software for release,Release Task,% of releases meeting readiness criteria,"Managing software versions, configurations, environments, and deployment readiness"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,4,Software configuration,PORT_4_01,Define configuration management practices,Process Design,Review score / completeness of CM practices,"Managing software versions, configurations, environments, and deployment readiness"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,4,Software configuration,PORT_4_02,Ensure deployment readiness,Validation Task,% deployments ready without issues,"Managing software versions, configurations, environments, and deployment readiness"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,5,Software configuration,PORT_5_01,Lead release management across systems,Leadership Task,Stakeholder approval rate (%),"Managing software versions, configurations, environments, and deployment readiness"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,5,Software configuration,PORT_5_02,Coordinate multi-environment deployments,Coordination Task,% of deployments successfully coordinated,"Managing software versions, configurations, environments, and deployment readiness"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,6,Software configuration,PORT_6_01,Define organisational release strategy,Strategic Task,Adoption rate of strategy across systems (%),"Managing software versions, configurations, environments, and deployment readiness"
"SOFTWARE, DEVOPS",Systems development,Development and build,PORT,6,Software configuration,PORT_6_02,Govern configuration and deployment standards,Governance Task,Compliance with standards (%),"Managing software versions, configurations, environments, and deployment readiness"
EMBEDDED,Systems development,Development and build,RESD,2,Real-time / embedded systems development,RESD_2_01,Develop basic embedded or real-time code,Coding Task,% correct execution on hardware tests,Developing time-critical and resource-constrained systems such as IoT and control systems
EMBEDDED,Systems development,Development and build,RESD,2,Real-time / embedded systems development,RESD_2_02,Interface with hardware peripherals,Integration Task,% successful peripheral connections,Developing time-critical and resource-constrained systems such as IoT and control systems
EMBEDDED,Systems development,Development and build,RESD,3,Real-time / embedded systems development,RESD_3_01,Develop embedded systems under timing and resource constraints,Development Task,Meeting timing/resource constraints (%),Developing time-critical and resource-constrained systems such as IoT and control systems
EMBEDDED,Systems development,Development and build,RESD,3,Real-time / embedded systems development,RESD_3_02,Debug embedded and real-time issues,Debugging Task,# of issues resolved correctly,Developing time-critical and resource-constrained systems such as IoT and control systems
EMBEDDED,Systems development,Development and build,RESD,4,Real-time / embedded systems development,RESD_4_01,Design and implement complex embedded solutions,Design & Coding Task,Correctness and completeness of implementation (%),Developing time-critical and resource-constrained systems such as IoT and control systems
EMBEDDED,Systems development,Development and build,RESD,4,Real-time / embedded systems development,RESD_4_02,Optimise real-time performance,Optimization Task,Performance improvement %,Developing time-critical and resource-constrained systems such as IoT and control systems
EMBEDDED,Systems development,Development and build,RESD,5,Real-time / embedded systems development,RESD_5_01,Lead embedded development for critical systems,Leadership Task,Stakeholder approval rate (%),Developing time-critical and resource-constrained systems such as IoT and control systems
EMBEDDED,Systems development,Development and build,RESD,5,Real-time / embedded systems development,RESD_5_02,Ensure reliability and safety compliance,Validation Task,Compliance with safety standards (%),Developing time-critical and resource-constrained systems such as IoT and control systems
EMBEDDED,Systems development,Development and build,RESD,6,Real-time / embedded systems development,RESD_6_01,Define embedded systems engineering standards,Governance Task,Adoption of engineering standards across teams (%),Developing time-critical and resource-constrained systems such as IoT and control systems
"UIUX, MEDIA",Systems development,Development and build,ADEV,2,Animation development,ADEV_2_01,Develop basic animations and interactive elements,Development Task,% of elements functioning correctly,"Developing animations and interactive visual components for applications, games, or simulations"
"UIUX, MEDIA",Systems development,Development and build,ADEV,2,Animation development,ADEV_2_02,Use animation tools and frameworks,Practical Task,Proficiency in selected tools (%),"Developing animations and interactive visual components for applications, games, or simulations"
"UIUX, MEDIA",Systems development,Development and build,ADEV,3,Animation development,ADEV_3_01,Develop interactive visual components,Development Task,% of components correctly integrated,"Developing animations and interactive visual components for applications, games, or simulations"
"UIUX, MEDIA",Systems development,Development and build,ADEV,3,Animation development,ADEV_3_02,Integrate animations into applications,Integration Task,% of animations functioning in app,"Developing animations and interactive visual components for applications, games, or simulations"
"UIUX, MEDIA",Systems development,Development and build,ADEV,4,Animation development,ADEV_4_01,Design and implement complex interactive systems,Design & Development Task,Completeness & functionality score (%),"Developing animations and interactive visual components for applications, games, or simulations"
"UIUX, MEDIA",Systems development,Development and build,ADEV,4,Animation development,ADEV_4_02,Optimise visual performance and usability,Optimization Task,Performance improvement %; usability rating,"Developing animations and interactive visual components for applications, games, or simulations"
"UIUX, MEDIA",Systems development,Development and build,ADEV,5,Animation development,ADEV_5_01,Lead interactive and visual development initiatives,Leadership Task,Stakeholder approval rate (%),"Developing animations and interactive visual components for applications, games, or simulations"
"UIUX, MEDIA",Systems development,Development and build,ADEV,6,Animation development,ADEV_6_01,Define organisational standards for interactive and visual development,Governance Task,Adoption of standards across teams (%),"Developing animations and interactive visual components for applications, games, or simulations"
"SOFTWARE, QA",Systems development,Testing and quality assurance,TEST,1,Functional testing,TEST_1_01,Execute predefined test cases,Test Execution,% of test cases executed correctly,Verifying that system functions behave as specified according to requirements
